Provincia;Localidad;Dirección;Margen;Toma de datos;Precio;Rótulo;Tipo Venta;Rem.;Horario
MADRID;MADRID;M-607 km 17.7;D;23/02/2015;1,219;E.S. NAVALCARRO;P;dm;L-D: 24H
MADRID;MADRID;MONTE IGUELDO, 108;N;23/02/2015;1,219;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;Niceto Alcalá Zamora 20;N;23/02/2015;1,244;GALP;P;OM;L-D: 24H
MADRID;MADRID;PASEO CASTELLANA, S/N;D;21/02/2015;1,229;CEPSA;P;OM;"L-V: 07:00-22:00; S: 09:00-15:00"
MADRID;MADRID;PASEO DEL MAR CASPIO, S,N;D;21/02/2015;1,234;CEPSA;P;OM;L-D: 06:00-23:59
MADRID;MADRID;PASEO EXTREMADURA, 300;D;21/02/2015;1,199;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;PASEO MORET, 7;I;20/02/2015;1,229;CEPSA;P;OM;"L-V: 07:00-22:00; S: 07:00-21:00"
MADRID;MADRID;PASEO SAN FRANCISCO DE SALES, 44;D;23/02/2015;1,229;REPSOL;P;OM;"L-V: 08:00-22:00; S: 08:00-15:00"
MADRID;MADRID;PASEO SANTA MARIA DE LA CABEZA, 18;D;19/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;PASEO SANTA MARIA DE LA CABEZA, 90;N;23/02/2015;1,209;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;PLAZA REPUBLICA ARGENTINA, 8;D;23/02/2015;1,209;CAMPSA;P;OM;"L-V: 07:00-22:00; S-D: 09:00-14:00"
MADRID;MADRID;PLAZA SETUBAL, 4;D;23/02/2015;1,219;REPSOL;P;OM;"L-V: 07:00-22:00; S: 08:00-21:00"
MADRID;MADRID;Pº STA. Mª. DE LA CABEZA, 168;N;23/02/2015;1,209;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;POBLADURA DEL VALLE, 31;N;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;PS DE LA ERMITA DEL SANTO S/N;N;19/02/2015;1,219;BP;P;dm;L-D: 24H
MADRID;MADRID;RONDA SEGOVIA, 37;N;23/02/2015;1,219;REPSOL;P;dm;"L-S: 06:00-23:00; D: 07:00-23:00"
MADRID;MADRID;SAN GENJO, 2;N;23/02/2015;1,239;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;SILVANO, 88-90;N;23/02/2015;1,229;REPSOL;P;dm;"L-J: 06:30-00:30; V-D: 07:00-01:00"
MADRID;MADRID;ZONA AEROPUERTO DE BARAJAS, T4, S/N;I;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;ZONA AEROPUERTO DE BARAJAS, TERMINAL 2, S/N;D;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;ZONA PLATAFORMA AEROPUERTO BARAJAS T123, S/N;D;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
